collection_id,time,type,scheduling_class,priority,collection_type
375013460953,2022521137,0,2,117,0
375013460953,2056628719,2,2,117,0
375013460953,2081569691,3,2,117,0
375013460953,2368934175,6,2,117,0
375019419843,3146197519,0,2,119,0
375019419843,3146197525,2,2,119,0
375019419843,3146269400,3,2,119,0
375019419843,4081906439,6,2,119,0
375038054232,8979517264,1,2,115,0
375038054232,9920301143,2,2,115,0
375038054232,9922247474,3,2,115,0
375038054232,9955267294,6,2,115,0
375047148516,11928999375,0,2,25,0
375047148516,11928999381,2,2,25,0
375047148516,11929257670,3,2,25,0
375047148516,12214142968,6,2,25,0
375092499097,34243733916,0,2,117,0
375092499097,34266871358,2,2,117,0
375092499097,34271266690,3,2,117,0
375092499097,34589031820,6,2,117,0
375092674097,34572019885,0,2,118,0
375092674097,34572019891,2,2,118,0
375092674097,34572182463,3,2,118,0
375092674097,59017087264,6,2,118,0
375160160518,48673197052,0,2,117,0
375160160518,48710453946,2,2,117,0
375160160518,48766514826,3,2,117,0
375160160518,49412843304,6,2,117,0
375182250189,51559482256,0,2,117,0
375182250189,51582179306,2,2,117,0
375182250189,51640156507,3,2,117,0
375182250189,52775798144,6,2,117,0
375222611125,56381589007,0,2,117,0
375222611125,56413715818,2,2,117,0
375222611125,56416252877,3,2,117,0
375222611125,57018569543,6,2,117,0
375255407450,59044230553,0,2,118,0
375255407450,59044230559,2,2,118,0
375255407450,59045298843,3,2,118,0
375255407450,87987187764,6,2,118,0
375256732804,59553045176,0,2,117,0
375256732804,59587266771,2,2,117,0
375256732804,59596092290,3,2,117,0
375256732804,59822061225,6,2,117,0
375256741490,59577413095,0,2,25,0
375256741490,59577413099,2,2,25,0
375256741490,59577513758,3,2,25,0
375256741490,59642417289,6,2,25,0
375257825005,59714195335,0,2,117,0
375257825005,59751330744,2,2,117,0
375257825005,59781355292,3,2,117,0
375257825005,60189020658,6,2,117,0
375380786508,65399654775,1,2,115,0
375380786508,66026606397,2,2,115,0
375380786508,66032416685,3,2,115,0
375380786508,66928591336,6,2,115,0
375430541423,66614711353,1,2,115,0
375430541423,66762197325,2,2,115,0
375430541423,66774245207,3,2,115,0
375430541423,67603293793,6,2,115,0
375433039794,66866123949,1,2,115,0
375433039794,67007116460,2,2,115,0
375433039794,67015970267,3,2,115,0
375433039794,67665439981,6,2,115,0
375435616763,67209904448,1,2,115,0
375435616763,67252368283,2,2,115,0
375435616763,67254454537,3,2,115,0
375435616763,67905051515,6,2,115,0
375437072504,67526754562,1,2,115,0
375437072504,67558243950,2,2,115,0
375437072504,67559909662,3,2,115,0
375437072504,67955409087,6,2,115,0
375496869228,70163081278,0,2,25,0
375496869228,70163081282,2,2,25,0
375496869228,70163305792,3,2,25,0
375496869228,70346880019,6,2,25,0
375767976390,80218458461,0,2,115,0
375767976390,80223431730,2,2,115,0
375767976390,80224034487,3,2,115,0
375767976390,80491204735,6,2,115,0
375997197319,89755560233,0,2,25,0
375997197319,89755560237,2,2,25,0
375997197319,89755741990,3,2,25,0
375997197319,91326576365,6,2,25,0
376280018684,91415089189,0,2,117,0
376280018684,91447494185,2,2,117,0
376280018684,91492791623,3,2,117,0
376280018684,91768400203,6,2,117,0
376376391056,99051533833,0,2,25,0
376376391056,99051533837,2,2,25,0
376376391056,99051715819,3,2,25,0
376376391056,99101735467,6,2,25,0
376388932092,103534491193,0,2,117,0
376388932092,103567283355,2,2,117,0
376388932092,103629495813,3,2,117,0
376388932092,104228688032,6,2,117,0
376406021728,112318949947,0,2,117,0
376406021728,112349451504,2,2,117,0
376406021728,112391912637,3,2,117,0
376406021728,113098222297,6,2,117,0
376408546124,113682594226,0,2,117,0
376408546124,113713646273,2,2,117,0
376408546124,113748203546,3,2,117,0
376408546124,117557318315,6,2,117,0
376414774136,114703365678,0,2,117,0
376414774136,114731794254,2,2,117,0
376414774136,114801244610,3,2,117,0
376414774136,115095485502,6,2,117,0
376433558158,117850051026,0,2,117,0
376433558158,117884185753,2,2,117,0
376433558158,117921687402,3,2,117,0
376433558158,118740528100,6,2,117,0
376448464512,127581878183,0,2,117,0
376448464512,127616381507,2,2,117,0
376448464512,127677254280,3,2,117,0
376448464512,127906698663,6,2,117,0
376452798177,130429082934,0,2,117,0
376452798177,130462437040,2,2,117,0
